state,year,population,unit,note
All India,1901,238396327,Population in Absolute Number,
Andhra Pradesh,1901,19065921,Population in Absolute Number,
Arunachal Pradesh,1901,-,Population in Absolute Number,Arunachal Pradesh was censused for the first time in 1961.
Assam,1901,3289680,Population in Absolute Number,The 1981 Census could not be held owing to disturbed conditions prevailing in Assam. Hence the population figures for 1981 of Assam has been worked out by 'Interpolation'.
Bihar,1901,27311865,Population in Absolute Number,
Chhattisgarh,1901,-,Population in Absolute Number,"Uttaranchal, Jharkhand, Chhattisgarh states carved out from UP, Bihar and MP respectively are censused for the first time in 2001."
Goa,1901,475513,Population in Absolute Number,
Gujarat,1901,9094748,Population in Absolute Number,
Haryana,1901,4623064,Population in Absolute Number,
Himachal Pradesh,1901,1920294,Population in Absolute Number,
Jammu and Kashmir,1901,2139362,Population in Absolute Number,The 1991 Census was not held in Jammu & Kashmir. Hence the population figures for 1991 of Jammu & Kashmir have been worked out by 'Interpolation'.
Jharkhand,1901,-,Population in Absolute Number,"Uttaranchal, Jharkhand, Chhattisgarh states carved out from UP, Bihar and MP respectively are censused for the first time in 2001."
Karnataka,1901,13054754,Population in Absolute Number,
Kerala,1901,6396262,Population in Absolute Number,
Madhya Pradesh,1901,16860768,Population in Absolute Number,
Maharashtra,1901,19391643,Population in Absolute Number,
Manipur,1901,284465,Population in Absolute Number,
Meghalaya,1901,340524,Population in Absolute Number,
Mizoram,1901,82434,Population in Absolute Number,
Nagaland,1901,101550,Population in Absolute Number,Arunachal Pradesh was censused for the first time in 1961.
Odisha,1901,10302917,Population in Absolute Number,
Punjab,1901,7544790,Population in Absolute Number,
Rajasthan,1901,10294090,Population in Absolute Number,
Sikkim,1901,59014,Population in Absolute Number,
Tamil Nadu,1901,19252630,Population in Absolute Number,
Tripura,1901,173325,Population in Absolute Number,
Uttarakhand,1901,-,Population in Absolute Number,"Uttaranchal, Jharkhand, Chhattisgarh states carved out from UP, Bihar and MP respectively are censused for the first time in 2001."
Uttar Pradesh,1901,48627670,Population in Absolute Number,
West Bengal,1901,16940088,Population in Absolute Number,
A.and N.Islands,1901,24649,Population in Absolute Number,
Chandigarh,1901,21967,Population in Absolute Number,
D.and N.Haveli,1901,24280,Population in Absolute Number,
Daman and Diu,1901,32005,Population in Absolute Number,
Delhi,1901,405819,Population in Absolute Number,
Lakshadweep,1901,13882,Population in Absolute Number,
Puducherry,1901,246354,Population in Absolute Number,
All India,1911,252093390,Population in Absolute Number,
Andhra Pradesh,1911,21447412,Population in Absolute Number,
Arunachal Pradesh,1911,-,Population in Absolute Number,
Assam,1911,3848617,Population in Absolute Number,
Bihar,1911,28314281,Population in Absolute Number,
